conversion_route,energy_component,carbon_component,material_component,justice_component,reliability_component
hybrid_biorefinery,100.0,100.0,87.49001810225556,89.56374140247354,92.2929194577681
anaerobic_digestion,50.826413199459964,77.16171718531851,80.1517035046123,88.85825018891398,90.4662519340053
pyrolysis,24.38985351806114,52.13423154968778,60.60116238689163,84.78569990541239,82.10033035230613
gasification,62.159794423950096,50.014928564462515,45.987901372399804,82.2050852791379,80.64179936720926
incineration_energy_recovery,0.0,0.0,30.71836570649229,76.08098810319841,87.19374608398101
