conversion_route,mean_energy_mwh_t,mean_net_emissions_kgco2e_t,mean_operating_cost_usd_t,mean_circularity_score,mean_reliability_index,mean_environmental_justice_index,mean_material_recovery_index,n
hybrid_biorefinery,0.6485508817572179,55.158818642919215,117.40136965121116,64.96442628427496,0.922929194577681,0.8956374140247354,0.8749001810225556,667
anaerobic_digestion,0.4242393196262802,115.070882807409,76.26045671722251,58.603621536407736,0.9046625193400529,0.8885825018891398,0.8015170350461229,270
pyrolysis,0.30364559471546676,180.72592077347886,99.22165127277123,46.43680648144523,0.8210033035230613,0.8478569990541239,0.6060116238689163,243
gasification,0.4759379776274269,186.28552512136739,105.59417532336784,45.68246588753215,0.8064179936720925,0.822050852791379,0.45987901372399803,227
incineration_energy_recovery,0.19238817993764223,317.4905563249465,94.54543336468939,36.65505637634872,0.87193746083981,0.7608098810319841,0.3071836570649229,193
