target,model,R2,RMSE,MAE,unit
net_emissions_kgco2e_t,XGBoost,0.9362238501752256,25.44060619631727,19.634167832790492,kg CO2e t^-1
net_emissions_kgco2e_t,LightGBM,0.9350369187087231,25.676251132506483,19.586539602161942,kg CO2e t^-1
net_emissions_kgco2e_t,Extra Trees,0.931448812320852,26.375809567441458,21.022853950314584,kg CO2e t^-1
net_emissions_kgco2e_t,Random Forest,0.9203616571004162,28.42885799442079,22.017654074991487,kg CO2e t^-1
net_energy_mwh_t,XGBoost,0.9383194933091625,0.06613674329765913,0.05014929436415493,MWh t^-1
net_energy_mwh_t,LightGBM,0.9376744942542373,0.06648164315694337,0.050862092107237425,MWh t^-1
net_energy_mwh_t,Extra Trees,0.9254686011011451,0.07270068043231703,0.056278881826866654,MWh t^-1
net_energy_mwh_t,Random Forest,0.9201323636251335,0.07525827424521857,0.05749996586780595,MWh t^-1
